Date,Open,High,Low,Close,Adj Close,Volume
1991-12-31,415.140015,418.320007,412.730011,417.089996,417.089996,247080000
1992-01-02,417.02999900000003,417.269989,411.040009,417.26001,417.26001,207570000
1992-01-03,417.269989,419.790009,416.160004,419.339996,419.339996,224270000
1992-01-06,419.309998,419.44000199999994,416.920013,417.959991,417.959991,251210000
1992-01-07,417.959991,417.959991,415.200012,417.399994,417.399994,252780000
1992-01-08,417.359985,420.23001100000005,415.019989,418.100006,418.100006,290750000
1992-01-09,418.089996,420.5,415.850006,417.609985,417.609985,292350000
1992-01-10,417.619995,417.619995,413.309998,415.100006,415.100006,236130000
1992-01-13,415.049988,415.359985,413.540009,414.339996,414.339996,200270000
1992-01-14,414.339996,420.44000199999994,414.320007,420.44000199999994,420.44000199999994,265900000
1992-01-15,420.450012,421.17999299999997,418.790009,420.76998899999995,420.76998899999995,314830000
1992-01-16,420.76998899999995,420.85000599999995,415.369995,418.209991,418.209991,336240000
1992-01-17,418.200012,419.450012,416.0,418.859985,418.859985,287370000
1992-01-20,418.859985,418.859985,415.799988,416.359985,416.359985,180900000
1992-01-21,416.359985,416.390015,411.320007,412.640015,412.640015,218750000
1992-01-22,412.649994,418.130005,412.48999,418.130005,418.130005,228140000
1992-01-23,418.130005,419.77999900000003,414.359985,414.959991,414.959991,234580000
1992-01-24,414.959991,417.269989,414.290009,415.480011,415.480011,213630000
1992-01-27,415.440002,416.839996,414.480011,414.98999,414.98999,190970000
1992-01-28,414.980011,416.410004,414.540009,414.959991,414.959991,218400000
1992-01-29,414.959991,417.829987,409.170013,410.339996,410.339996,248940000
1992-01-30,410.339996,412.170013,409.26001,411.619995,411.619995,194680000
1992-01-31,411.649994,412.630005,408.640015,408.77999900000003,408.77999900000003,197620000
1992-02-03,408.790009,409.950012,407.450012,409.52999900000003,409.52999900000003,185290000
1992-02-04,409.600006,413.850006,409.27999900000003,413.850006,413.850006,233680000
1992-02-05,413.880005,416.170013,413.179993,413.839996,413.839996,262440000
1992-02-06,413.869995,414.549988,411.929993,413.820007,413.820007,242050000
1992-02-07,413.820007,415.290009,408.040009,411.089996,411.089996,231120000
1992-02-10,411.070007,413.769989,411.070007,413.769989,413.769989,184410000
1992-02-11,413.769989,414.380005,412.23999,413.76001,413.76001,200130000
